MON timestamp weightedPrice RollingMin RollingMax averPrice stdevPrice coin cash curBalanceCoin curBalanceDollar trades decision
MON 267 6763.19 5971.05 8290.33 6763.19 0 0.0 802.9546349493586 0.11872424624317203 802.9546349493586 4 0
MON 268 6707.26 5971.05 8272.26 6707.26 0 0.0 802.9546349493586 0.11971425514283904 802.9546349493586 4 0
MON 269 6884.64 5971.05 8272.26 6884.64 0 0.0 802.9546349493586 0.11662986517077996 802.9546349493586 4 0
MON 270 7096.28 5971.05 8272.26 7096.28 0 0.0 802.9546349493586 0.11315148711005747 802.9546349493586 4 0
MON 271 7047.16 5971.05 8235.5 7047.16 0 0.0 802.9546349493586 0.1139401737649434 802.9546349493586 4 0
MON 272 6978.23 5971.05 8181.53 6978.23 0 0.0 802.9546349493586 0.1150656591928553 802.9546349493586 4 0
MON 273 7037.58 5971.05 7769.04 7037.58 0 0.0 802.9546349493586 0.11409527635200717 802.9546349493586 4 0
MON 274 7193.25 5971.05 7712.77 7193.25 0 0.0 802.9546349493586 0.11162612656995914 802.9546349493586 4 0
MON 275 7272.72 5971.05 7562.14 7272.72 0 0.0 802.9546349493586 0.11040637271190952 802.9546349493586 4 0
MON 276 7260.06 5971.05 7497.49 7260.06 0 0.0 802.9546349493586 0.11059889793601686 802.9546349493586 4 0
MON 277 7361.66 6221.42 7317.94 7361.66 0 0.10907249654960412 0.0 0.10907249654960412 802.9546349493586 5 1
MON 278 6792.83 6276.41 7388.26 6792.83 0 0.10907249654960412 0.0 0.10907249654960412 740.9109267370474 5 0
MON 279 6529.17 6297.93 7388.43 6529.17 0 0.0 712.1528722967787 0.10907249654960412 712.1528722967787 6 -1
MON 280 6467.07 6297.93 7388.43 6467.07 0 0.0 712.1528722967787 0.11011986452856992 712.1528722967787 6 0
MON 281 6225.98 6297.93 7388.43 6225.98 0 0.0 712.1528722967787 0.11438406038836918 712.1528722967787 6 0
MON 282 6300.86 6197.52 7388.43 6300.86 0 0.0 712.1528722967787 0.11302470968991198 712.1528722967787 6 0
MON 283 6329.7 6197.52 7388.43 6329.7 0 0.0 712.1528722967787 0.11250973542139102 712.1528722967787 6 0
MON 284 6321.2 6197.52 7388.43 6321.2 0 0.0 712.1528722967787 0.11266102516876206 712.1528722967787 6 0
MON 285 6351.8 6197.52 7388.43 6351.8 0 0.0 712.1528722967787 0.11211827707055932 712.1528722967787 6 0
MON 286 6517.31 6197.52 7388.43 6517.31 0 0.0 712.1528722967787 0.10927098331931098 712.1528722967787 6 0
MON 287 6512.71 6197.52 7388.43 6512.71 0 0.0 712.1528722967787 0.10934816263840685 712.1528722967787 6 0
MON 288 6543.2 6197.52 7388.43 6543.2 0 0.0 712.1528722967787 0.1088386221262958 712.1528722967787 6 0
MON 289 6517.18 6197.52 7388.43 6517.18 0 0.0 712.1528722967787 0.10927316297797186 712.1528722967787 6 0
MON 290 6281.2 6197.52 7388.43 6281.2 0 0.0 712.1528722967787 0.1133784742241576 712.1528722967787 6 0
MON 291 6371.3 6197.52 7388.43 6371.3 0 0.0 712.1528722967787 0.11177512788548313 712.1528722967787 6 0
MON 292 6398.54 6197.52 7388.43 6398.54 0 0.0 712.1528722967787 0.11129927644381042 712.1528722967787 6 0
MON 293 6519.67 6197.52 7388.43 6519.67 0 0.0 712.1528722967787 0.1092314292436241 712.1528722967787 6 0
MON 294 6734.95 6197.52 7388.43 6734.95 0 0.0 712.1528722967787 0.10573989002097695 712.1528722967787 6 0
MON 295 6721.98 6197.52 7388.43 6721.98 0 0.0 712.1528722967787 0.10594391418849487 712.1528722967787 6 0
MON 296 6710.63 6197.52 7388.43 6710.63 0 0.0 712.1528722967787 0.10612310204806087 712.1528722967787 6 0
MON 297 6595.41 6197.52 7388.43 6595.41 0 0.0 712.1528722967787 0.1079770434736853 712.1528722967787 6 0
MON 298 6446.47 6197.52 7388.43 6446.47 0 0.0 712.1528722967787 0.11047175776770522 712.1528722967787 6 0
MON 299 6495.0 6197.52 7388.43 6495.0 0 0.0 712.1528722967787 0.1096463236792577 712.1528722967787 6 0
MON 300 6676.75 6197.52 7388.43 6676.75 0 0.0 712.1528722967787 0.10666160516670217 712.1528722967787 6 0
MON 301 6644.13 6197.52 7388.43 6644.13 0 0.0 712.1528722967787 0.10718527065195574 712.1528722967787 6 0
MON 302 6601.96 6201.22 7388.43 6601.96 0 0.0 712.1528722967787 0.10786991625165537 712.1528722967787 6 0
MON 303 6625.56 6208.34 7388.43 6625.56 0 0.0 712.1528722967787 0.10748568759422278 712.1528722967787 6 0
MON 304 6589.62 6208.34 7388.43 6589.62 0 0.0 712.1528722967787 0.10807191800085265 712.1528722967787 6 0
MON 305 6556.1 6208.34 7388.43 6556.1 0 0.0 712.1528722967787 0.1086244676403317 712.1528722967787 6 0
MON 306 6502.59 6208.34 7388.43 6502.59 0 0.0 712.1528722967787 0.10951834150650412 712.1528722967787 6 0
MON 307 6576.69 6208.34 7388.43 6576.69 0 0.0 712.1528722967787 0.10828439112939468 712.1528722967787 6 0
MON 308 6622.48 6208.34 7388.43 6622.48 0 0.0 712.1528722967787 0.10753567731375237 712.1528722967787 6 0
MON 309 6588.31 6208.34 6814.56 6588.31 0 0.0 712.1528722967787 0.10809340670016722 712.1528722967787 6 0
MON 310 6602.95 6208.34 6814.56 6602.95 0 0.0 712.1528722967787 0.10785374299317407 712.1528722967787 6 0
MON 311 6652.23 6208.34 6814.56 6652.23 0 0.0 712.1528722967787 0.10705475792279863 712.1528722967787 6 0
MON 312 6642.64 6208.34 6814.56 6642.64 0 0.0 712.1528722967787 0.1072093132093232 712.1528722967787 6 0
MON 313 6585.53 6381.86 6814.56 6585.53 0 0.0 712.1528722967787 0.1081390369942554 712.1528722967787 6 0
MON 314 6256.24 6381.86 6814.56 6256.24 0 0.0 712.1528722967787 0.11383081088589611 712.1528722967787 6 0
MON 315 6274.58 6243.74 6814.56 6274.58 0 0.0 712.1528722967787 0.11349809426236955 712.1528722967787 6 0
MON 316 6285.99 6236.47 6814.56 6285.99 0 0.0 712.1528722967787 0.11329207846286404 712.1528722967787 6 0
MON 317 6290.93 6236.47 6814.56 6290.93 0 0.0 712.1528722967787 0.11320311500792071 712.1528722967787 6 0
MON 318 6596.54 6236.47 6814.56 6596.54 0 0.0 712.1528722967787 0.107958546798288 712.1528722967787 6 0
MON 319 6596.11 6236.47 6965.06 6596.11 0 0.0 712.1528722967787 0.10796558460922857 712.1528722967787 6 0
MON 320 6544.43 6236.47 6965.06 6544.43 0 0.0 712.1528722967787 0.10881816633332142 712.1528722967787 6 0
MON 321 6476.71 6236.47 6965.06 6476.71 0 0.0 712.1528722967787 0.10995596101983549 712.1528722967787 6 0
MON 322 6465.41 6236.47 6965.06 6465.41 0 0.0 712.1528722967787 0.11014813790568251 712.1528722967787 6 0
MON 323 6489.19 6236.47 6965.06 6489.19 0 0.0 712.1528722967787 0.10974449388857141 712.1528722967787 6 0
MON 324 6482.35 6236.47 6965.06 6482.35 0 0.0 712.1528722967787 0.10986029330362888 712.1528722967787 6 0
MON 325 6487.16 6236.47 6965.06 6487.16 0 0.0 712.1528722967787 0.10977883577663858 712.1528722967787 6 0
MON 326 6475.74 6236.47 6965.06 6475.74 0 0.0 712.1528722967787 0.1099724313046507 712.1528722967787 6 0
MON 327 6495.84 6236.47 6965.06 6495.84 0 0.0 712.1528722967787 0.10963214492610328 712.1528722967787 6 0
MON 328 6476.29 6236.47 6965.06 6476.29 0 0.0 712.1528722967787 0.109963091877723 712.1528722967787 6 0
MON 329 6474.75 6236.47 6965.06 6474.75 0 0.0 712.1528722967787 0.10998924627155932 712.1528722967787 6 0
MON 330 6480.38 6236.47 6965.06 6480.38 0 0.0 712.1528722967787 0.10989369023063134 712.1528722967787 6 0
MON 331 6486.39 6236.47 6965.06 6486.39 0 0.0 712.1528722967787 0.10979186763311775 712.1528722967787 6 0
MON 332 6332.63 6236.47 6965.06 6332.63 0 0.0 712.1528722967787 0.11245767908385279 712.1528722967787 6 0
MON 333 6334.27 6236.47 6965.06 6334.27 0 0.0 712.1528722967787 0.11242856276994487 712.1528722967787 6 0
MON 334 6317.61 6236.47 6965.06 6317.61 0 0.0 712.1528722967787 0.11272504511940097 712.1528722967787 6 0
MON 335 6377.78 6236.47 6965.06 6377.78 0 0.0 712.1528722967787 0.11166156127943873 712.1528722967787 6 0
MON 336 6388.44 6258.68 6965.06 6388.44 0 0.0 712.1528722967787 0.11147523844581443 712.1528722967787 6 0
MON 337 6361.26 6258.68 6965.06 6361.26 0 0.0 712.1528722967787 0.11195154297997231 712.1528722967787 6 0
MON 338 6376.13 6258.68 6965.06 6376.13 0 0.0 712.1528722967787 0.11169045679695656 712.1528722967787 6 0
MON 339 6419.66 6294.57 6965.06 6419.66 0 0.0 712.1528722967787 0.1109331136379152 712.1528722967787 6 0
MON 340 6461.01 6294.57 6965.06 6461.01 0 0.0 712.1528722967787 0.11022314967733816 712.1528722967787 6 0
MON 341 6530.14 6294.57 6965.06 6530.14 0 0.0 712.1528722967787 0.109056294703755 712.1528722967787 6 0
MON 342 6453.72 6294.57 6965.06 6453.72 0 0.0 712.1528722967787 0.11034765566166159 712.1528722967787 6 0
MON 343 6385.62 6294.57 6965.06 6385.62 0 0.0 712.1528722967787 0.11152446783503853 712.1528722967787 6 0
MON 344 6409.22 6294.57 6965.06 6409.22 0 0.0 712.1528722967787 0.11111381295957677 712.1528722967787 6 0
MON 345 6411.27 6294.57 6965.06 6411.27 0 0.0 712.1528722967787 0.1110782843799713 712.1528722967787 6 0
MON 346 6371.27 6294.57 6965.06 6371.27 0 0.0 712.1528722967787 0.11177565419402703 712.1528722967787 6 0
MON 347 6359.49 6294.57 6965.06 6359.49 0 0.0 712.1528722967787 0.11198270180419793 712.1528722967787 6 0
MON 348 5738.35 6294.57 6965.06 5738.35 0 0.0 712.1528722967787 0.12410411918003933 712.1528722967787 6 0
MON 349 5648.03 5544.09 6673.59 5648.03 0 0.0 712.1528722967787 0.12608871983625772 712.1528722967787 6 0
MON 350 5575.55 5358.38 6601.21 5575.55 0 0.0 712.1528722967787 0.12772782457278273 712.1528722967787 6 0
MON 351 5554.33 5358.38 6567.54 5554.33 0 0.0 712.1528722967787 0.12821580141921324 712.1528722967787 6 0
MON 352 5623.54 5358.38 6556.38 5623.54 0 0.0 712.1528722967787 0.126637824625908 712.1528722967787 6 0
MON 353 4871.49 5358.38 6556.38 4871.49 0 0.0 712.1528722967787 0.14618789575607846 712.1528722967787 6 0
MON 354 4451.87 4842.91 6556.38 4451.87 0 0.0 712.1528722967787 0.15996713118235228 712.1528722967787 6 0
MON 355 4602.17 4272.11 6552.16 4602.17 0 0.0 712.1528722967787 0.15474284354919063 712.1528722967787 6 0
MON 356 4365.94 4272.11 6552.16 4365.94 0 0.0 712.1528722967787 0.16311558846360205 712.1528722967787 6 0
MON 357 4347.11 4272.11 6552.16 4347.11 0 0.0 712.1528722967787 0.16382214213506877 712.1528722967787 6 0
MON 358 3880.76 4195.68 6552.16 3880.76 0 0.0 712.1528722967787 0.1835086097302535 712.1528722967787 6 0
MON 359 4009.97 3795.16 6552.16 4009.97 0 0.0 712.1528722967787 0.17759556113805808 712.1528722967787 6 0
MON 360 3779.13 3585.06 6552.16 3779.13 0 0.0 712.1528722967787 0.18844360270664906 712.1528722967787 6 0
MON 361 3820.72 3585.06 6552.16 3820.72 0 0.0 712.1528722967787 0.18639232194371186 712.1528722967787 6 0
MON 362 4257.42 3585.06 6552.16 4257.42 0 0.0 712.1528722967787 0.16727334214072812 712.1528722967787 6 0
MON 363 4278.85 3585.06 6552.16 4278.85 0 0.0 712.1528722967787 0.16643557785310975 712.1528722967787 6 0
MON 364 4017.27 3585.06 6552.16 4017.27 0 0.0 712.1528722967787 0.1772728425763712 712.1528722967787 6 0
MON 365 4214.67 3585.06 6552.16 4214.67 0 0.0 712.1528722967787 0.1689700195499953 712.1528722967787 6 0
MON 366 4139.88 3585.06 6552.16 4139.88 0 0.0 712.1528722967787 0.17202258816602864 712.1528722967787 6 0
MON 367 3894.13 3585.06 6552.16 3894.13 0 0.0 712.1528722967787 0.18287855626206076 712.1528722967787 6 0
MON 368 3956.89 3585.06 6552.16 3956.89 0 0.0 712.1528722967787 0.1799779302171096 712.1528722967787 6 0
MON 369 3753.99 3585.06 6552.16 3753.99 0 0.0 712.1528722967787 0.1897055858691096 712.1528722967787 6 0
MON 370 3521.1 3585.06 6552.16 3521.1 0 0.0 712.1528722967787 0.20225295285472686 712.1528722967787 6 0
MON 371 3419.94 3521.1 6552.16 3419.94 0 0.0 712.1528722967787 0.20823548725906849 712.1528722967787 6 0
MON 372 3476.11 3280.23 6536.92 3476.11 0 0.0 712.1528722967787 0.2048706376658905 712.1528722967787 6 0
MON 373 3614.23 3280.23 6456.46 3614.23 0 0.0 712.1528722967787 0.1970413815105233 712.1528722967787 6 0
MON 374 3502.66 3280.23 6437.28 3502.66 0 0.0 712.1528722967787 0.20331772775455761 712.1528722967787 6 0
MON 375 3424.59 3280.23 6434.21 3424.59 0 0.0 712.1528722967787 0.20795273953868307 712.1528722967787 6 0
MON 376 3486.95 3280.23 6434.21 3486.95 0 0.0 712.1528722967787 0.20423374935022834 712.1528722967787 6 0
MON 377 3313.68 3280.23 6395.27 3313.68 0 0.0 712.1528722967787 0.2149129886702333 712.1528722967787 6 0
MON 378 3242.48 3280.23 6371.55 3242.48 0 0.0 712.1528722967787 0.2196321557254875 712.1528722967787 6 0
MON 379 3236.76 3206.54 5774.82 3236.76 0 0.0 712.1528722967787 0.22002028951691774 712.1528722967787 6 0
MON 380 3252.84 3191.3 5657.02 3252.84 0 0.0 712.1528722967787 0.21893264725494604 712.1528722967787 6 0
MON 381 3545.86 3191.3 5653.61 3545.86 0 0.0 712.1528722967787 0.20084066271561163 712.1528722967787 6 0
MON 382 3696.06 3191.3 5653.61 3696.06 0 0.0 712.1528722967787 0.19267892628820385 712.1528722967787 6 0
MON 383 3745.95 3191.3 5620.78 3745.95 0 0.0 712.1528722967787 0.1901127543872125 712.1528722967787 6 0
MON 384 4134.44 3191.3 4951.61 4134.44 0 0.0 712.1528722967787 0.17224893148691933 712.1528722967787 6 0
MON 385 3896.54 3191.3 4675.73 3896.54 0 0.0 712.1528722967787 0.18276544634387912 712.1528722967787 6 0
MON 386 4014.18 3191.3 4629.64 4014.18 0 0.0 712.1528722967787 0.17740930209825637 712.1528722967787 6 0
MON 387 3998.98 3191.3 4413.09 3998.98 0 0.0 712.1528722967787 0.1780836293996916 712.1528722967787 6 0
MON 388 4078.6 3191.3 4413.09 4078.6 0 0.0 712.1528722967787 0.17460718685254223 712.1528722967787 6 0
MON 389 3815.49 3191.3 4413.02 3815.49 0 0.0 712.1528722967787 0.18664781516837384 712.1528722967787 6 0
MON 390 3857.3 3191.3 4413.02 3857.3 0 0.0 712.1528722967787 0.18462470440380024 712.1528722967787 6 0
MON 391 3654.83 3191.3 4413.02 3654.83 0 0.0 712.1528722967787 0.19485253002103484 712.1528722967787 6 0
MON 392 3923.92 3191.3 4413.02 3923.92 0 0.0 712.1528722967787 0.18149016093518183 712.1528722967787 6 0
MON 393 3820.41 3191.3 4413.02 3820.41 0 0.0 712.1528722967787 0.1864074463988888 712.1528722967787 6 0
MON 394 3865.95 3191.3 4322.98 3865.95 0 0.0 712.1528722967787 0.18421160964233338 712.1528722967787 6 0
MON 395 3742.7 3191.3 4309.38 3742.7 0 0.0 712.1528722967787 0.19027784014128268 712.1528722967787 6 0
MON 396 3843.52 3191.3 4301.52 3843.52 0 0.0 712.1528722967787 0.1852866310821275 712.1528722967787 6 0
MON 397 3943.41 3191.3 4271.79 3943.41 0 0.0 712.1528722967787 0.18059315980250057 712.1528722967787 6 0
MON 398 3836.74 3191.3 4271.79 3836.74 0 0.0 712.1528722967787 0.18561405576004075 712.1528722967787 6 0
MON 399 3857.72 3191.3 4271.79 3857.72 0 0.0 712.1528722967787 0.1846046038325173 712.1528722967787 6 0
MON 400 3845.19 3233.82 4271.79 3845.19 0 0.0 712.1528722967787 0.1852061594607233 712.1528722967787 6 0
MON 401 4076.63 3253.12 4271.79 4076.63 0 0.0 712.1528722967787 0.17469156442865275 712.1528722967787 6 0
MON 402 4025.25 3487.17 4271.79 4025.25 0 0.0 712.1528722967787 0.17692140172580056 712.1528722967787 6 0
MON 403 4030.85 3642.63 4271.79 4030.85 0 0.0 712.1528722967787 0.17667560745172325 712.1528722967787 6 0
MON 404 4035.3 3642.63 4271.79 4035.3 0 0.0 712.1528722967787 0.1764807752327655 712.1528722967787 6 0
MON 405 3678.92 3642.63 4271.79 3678.92 0 0.0 712.1528722967787 0.19357661278222377 712.1528722967787 6 0
MON 406 3687.37 3642.63 4271.79 3687.37 0 0.0 712.1528722967787 0.1931330114137661 712.1528722967787 6 0
MON 407 3661.3 3642.63 4271.79 3661.3 0 0.0 712.1528722967787 0.19450819990079443 712.1528722967787 6 0
