Date,Open,High,Low,Close,Volume
1-Dec-17,10198.6,11046.7,9694.65,10975.6,6783119872
2-Dec-17,10978.3,11320.2,10905.1,11074.6,5138500096
3-Dec-17,11082.7,11858.7,10862,11323.2,6608309760
4-Dec-17,11315.4,11657.2,11081.8,11657.2,6132409856
5-Dec-17,11685.7,12032,11604.6,11916.7,6895260160
6-Dec-17,11923.4,14369.1,11923.4,14291.5,12656300032
7-Dec-17,14266.1,17899.7,14057.3,17899.7,17950699520
8-Dec-17,17802.9,18353.4,14336.9,16569.4,21135998976
9-Dec-17,16523.3,16783,13674.9,15178.2,13911300096
10-Dec-17,15168.4,15850.6,13226.6,15455.4,13433299968
11-Dec-17,15427.4,17513.9,15404.8,16936.8,12153900032
12-Dec-17,16919.8,17781.8,16571.6,17415.4,14603799552
13-Dec-17,17500,17653.1,16039.7,16408.2,12976900096
14-Dec-17,16384.6,17085.8,16185.9,16564,13777399808
15-Dec-17,16601.3,18154.1,16601.3,17706.9,14309999616
16-Dec-17,17760.3,19716.7,17515.3,19497.4,12740599808
17-Dec-17,19475.8,20089,18974.1,19140.8,13314599936
18-Dec-17,19106.4,19371,18355.9,19114.2,14839499776
19-Dec-17,19118.3,19177.8,17275.4,17776.7,16894499840
20-Dec-17,17760.3,17934.7,16077.7,16624.6,22149699584
21-Dec-17,16642.4,17567.7,15342.7,15802.9,16516599808
22-Dec-17,15898,15943.4,11833,13831.8,22197999616
23-Dec-17,13948.7,15603.2,13828.8,14699.2,13086000128
24-Dec-17,14608.2,14626,12747.7,13925.8,11572299776
25-Dec-17,13995.9,14593,13448.9,14026.6,10664699904
26-Dec-17,14036.6,16461.2,14028.9,16099.8,13454300160
27-Dec-17,16163.5,16930.9,15114.3,15838.5,12487600128
28-Dec-17,15864.1,15888.4,13937.3,14606.5,12336499712
29-Dec-17,14695.8,15279,14307,14656.2,13025500160
30-Dec-17,14681.9,14681.9,12350.1,12952.2,14452599808
31-Dec-17,12897.7,14377.4,12755.6,14156.4,12136299520
1-Jan-18,14112.2,14112.2,13154.7,13657.2,10291200000
2-Jan-18,13625,15444.6,13163.6,14982.1,16846600192
3-Jan-18,14978.2,15572.8,14844.5,15201,16871900160
4-Jan-18,15270.7,15739.7,14522.2,15599.2,21783199744
5-Jan-18,15477.2,17705.2,15202.8,17429.5,23840899072
6-Jan-18,17462.1,17712.4,16764.6,17527,18314600448
7-Jan-18,17527.3,17579.6,16087.7,16477.6,15866000384
8-Jan-18,16476.2,16537.9,14208.2,15170.1,18413899776
9-Jan-18,15123.7,15497.5,14424,14595.4,16659999744
10-Jan-18,14588.5,14973.3,13691.2,14973.3,18500800512
11-Jan-18,14968.2,15018.8,13105.9,13405.8,16534099968
12-Jan-18,13453.9,14229.9,13158.1,13980.6,12065699840
13-Jan-18,13952.4,14659.5,13952.4,14360.2,12763599872
14-Jan-18,14370.8,14511.8,13268,13772,11084099584
15-Jan-18,13767.3,14445.5,13641.7,13819.8,12750799872
16-Jan-18,13836.1,13843.1,10194.9,11490.5,18853799936
